refdes:refdes:value:footprint:qty
J1:J1:unknown:RJ12:1
J2:J2:unknown:RJ12:1
Q1:Q1:2N3904:TO-92-round-ebc:1
R1:R1:47K:0603:1
R2:R2:150K:0603:1
R4:R4:22K:0603:1
R3:R3:10K:0603:1
R6:R6:4.7K:0603:1
R5:R5:220K:0603:1
U1:U1:unknown:SOIC-127P-600L1-8N:1
U2:U2:unknown:ArduinoProMini:1
J3:J3:unknown:CON_HDR-500P-2C-1R-2N__Phoenix_MKDSN:1
R23:R23:7.5K:0603:1
R22:R22:0.2:0805:1
U3:U3:unknown:SOT23:1
R24:R24:0:0603:1
U4:U4:PCA9685:TSSOP-65P-640L1-28N:1
J12:J12:unknown:H1x3-wide-hole:1
J13:J13:unknown:H1x3-wide-hole:1
J14:J14:unknown:H1x3-wide-hole:1
J15:J15:unknown:H1x3-wide-hole:1
J8:J8:unknown:H1x3-wide-hole:1
J9:J9:unknown:H1x3-wide-hole:1
J10:J10:unknown:H1x3-wide-hole:1
J11:J11:unknown:H1x3-wide-hole:1
R31:R31:1.8K:0603:1
R30:R30:1.8K:0603:1
C1:C1:0.1uF:0805:1
